,date,content,year,month,words
3413,2022-01-02 21:00:00,姐妹们是什么罩杯？,2022,1,姐妹 罩杯
3403,2022-01-02 21:00:00,这两天就总是挥之不去的想法，可能是看到了高中现在在清北的同学他们好快乐啊，我总告诉自己人大也不差啊，但是他们可以毕业落户北京，体育课的资源都那么多设备也很贵，不是说人大不好但实话实说又有哪个学校享受的资源像清北一样呢，我总是太执着明明现在的日子也很好应该专注于自己不和其他人比较，但是也总有复读的念头，纠结着纠结着就大二了，曾经以为可以研究生去，但也很难吧，不要纠结了专注当下吧,2022,1,两天 挥之不去 高中 清北 同学 快乐 告诉 人大 不差 毕业 落户 北京 体育课 资源 设备 人大 不好 实话实说 学校 享受 资源 清北 执着 明明 日子 专注 其他人 总有 复读 念头 纠结 纠结 大二 研究生 纠结 专注
3404,2022-01-02 21:00:00,求问高仰光老师的外国法制史怎么复习，是复习他发的PPT还是他上课讲的PPT呀？感觉他发出来的PPT删减了不少，会从删减的部分出题吗？😭 😭 😭,2022,1,求问 仰光 老师 外国 法制史 复习 复习 他发 PPT 上课 PPT 发出 PPT 删减 删减 出题
3405,2022-01-02 21:00:00,秦聪老师真的超级无敌好！,2022,1,秦聪 老师 超级 无敌
3406,2022-01-02 21:00:00,请问下学期转专业的话这学期期末考试考得很差影响大吗？谢谢🙏,2022,1,下学期 专业 学期 期末考试 考得 影响 谢谢
3407,2022-01-02 21:00:00,马原毛概破防人,2022,1,毛概 破防
3408,2022-01-02 21:00:00,师兄师姐们，毛概马原该怎么复习啊？孩子是理科生，真的背不下来😭 😭,2022,1,师兄 师姐 毛概 马原 复习 孩子 理科生
3409,2022-01-02 21:00:00,好想干点啥,2022,1,好想 干点
3410,2022-01-02 21:00:00,喜欢上了一个男生，问他前女友对他的评价合适吗？,2022,1,喜欢 男生 前女友 评价 合适
3411,2022-01-02 21:00:00,一个又好看又优秀的师姐都能遭到诋毁，说她又清高又会装。。。我对这个世界产生了怀疑,2022,1,好看 优秀 师姐 诋毁 清高 会装 世界 怀疑
3412,2022-01-02 21:00:00,新闻哪个班压力最大,2022,1,新闻 压力
3414,2022-01-02 21:00:00,想问一下法理学会挂科吗，知识温不进脑，害怕 (*꒦ິ⌓꒦ີ),2022,1,法理学 挂科 知识 温不进 害怕
3415,2022-01-02 21:00:00,这种车里的福袋可以拿吗,2022,1,车里 福袋
3416,2022-01-02 21:00:00,请问学校附近有没有可以抽真空包装的糖葫芦卖啊？家里人之前很想吃没买到，想这次给他带回去，但是坐飞机不知道能不能携带。,2022,1,学校 真空包装 糖葫芦 家里人 带回去 坐飞机 携带
3417,2022-01-02 21:00:00,重修是期末期中考试没及格还是总分没及格？期末考试挂科但绩点没挂会怎样？,2022,1,重修 期末 期中考试 及格 总分 及格 期末考试 挂科 但绩
3418,2022-01-02 21:00:00,周五程设jrm 都做出几道题啊😬,2022,1,周五 程设 jrm 做出 几道
3402,2022-01-02 21:00:00,想问下校内美甲一般价格怎么样呢？甲片收费贵吗,2022,1,问下 校内 美甲 价格 甲片 收费
3401,2022-01-02 21:00:00,请问人大校园里除了知行地下哪里还有能唱歌🎤 的小型KTV啊,2022,1,人大 校园 地下 唱歌 小型 KTV
3400,2022-01-02 21:00:00,在海淀派出所办身份证几天可以下来呢,2022,1,海淀 派出所 身份证 几天
3399,2022-01-02 21:00:00,有多少女生主动追过男生啊？有％啊,2022,1,女生 主动 男生
3383,2022-01-02 21:00:00,向不认识的人要微信会很奇怪吗？自习的时候旁边的姑娘看对眼了，在反复思量要不要冒然要微信╰(⇀‸↼)╯,2022,1,人要 微信会 奇怪 自习 旁边 姑娘 反复 思量 冒然 微信
3384,2022-01-02 21:00:00,控诉一下今天东二自选的千页豆腐。,2022,1,控诉 东二 自选 千页 豆腐
3385,2022-01-02 21:00:00,请问uu们只学过概率论与数理统计C，然后一边学统计学一边学计量A会跟不上吗？下学期的统计学选不到了5555,2022,1,uu 学过 概率论 数理统计 统计学 计量 跟不上 下学期 统计学 5555
3386,2022-01-02 21:00:00,看到这个热搜 想起了前两天墙上 那个出轨的帖子…蝈蝻真的没救了,2022,1,想起 前两天 墙上 出轨 帖子 蝈蝻 没救
3387,2022-01-02 21:00:00,大家觉得现在的电子书相对于纸书来说到底缺少了什么呢，目前我想到的比如凭感觉翻页，手放在纸上的对这一页纸的掌控感，翻页的感觉之类的。现在的话电子书已经和纸书走向了不同的阅读方式，但自己又是突然想构思一个能满足大家对纸书的需求的电子书软件，所以1 大家觉得电子书比纸书少了什么导致你更喜欢纸书呢 2有老哥愿意一起做吗,2022,1,电子书 纸书 缺少 想到 凭感觉 翻页 放在 纸上 一页 掌控 翻页 电子书 纸书 走向 阅读 方式 构思 对纸 需求 电子书 软件 电子书 比纸 书少 导致 喜欢 纸书 老哥
3388,2022-01-02 21:00:00,请问，恋爱的两个人是怎么才能把第一次保留到结婚后，昨天跟男朋友交流一下，他是很正经的人，他说喜欢我之前觉得很容易，现在发现很困难，，，结婚起码要八九年之后，他说很难克制自己八九年。。。所以想问问大家是咋做到的(❁´ω`❁),2022,1,恋爱 两个 第一次 保留 结婚 昨天 男朋友 交流 正经 喜欢 发现 困难 结婚 起码 八九年 克制 八九年 问问
3389,2022-01-02 21:00:00,距离下一次跨年还有365天，回想起上一次跨年，仿佛还在昨日,2022,1,距离 跨年 365 想起 跨年 仿佛 昨日
3420,2022-01-02 21:00:00,哪位同学有法学院教秘唐老师的邮箱或者其他联系方式？求一个，感激不尽！,2022,1,哪位 同学 法学院 教秘 老师 邮箱 联系方式 感激不尽
3390,2022-01-02 21:00:00,明德主楼到底在装修什么,2022,1,明德 主楼 装修
3392,2022-01-02 21:00:00,想问一下大家遇到舍友晚上打呼噜怎么办，我已经要被烦死了...,2022,1,舍友 晚上 打呼噜 烦死
3393,2022-01-02 21:00:00,洗衣机洗袜子没什么吧(放洗衣袋加消毒水) 袜子和打底衣有很大区别吗,2022,1,洗衣机 袜子 没什么 洗衣袋 消毒水 袜子 打底 衣有 很大 区别
3394,2022-01-02 21:00:00,怎么会有人去图书馆不预约直接坐还要把包放在另一个座并且玩手机笑个不停呀😅,2022,1,有人 图书馆 预约 放在 手机 笑个 不停
